symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb,avg_daily_net_mb,period_top_buy_day,period_top_buy_net_mb,period_top_sell_day,period_top_sell_net_mb
GUNKUL,Energy,72,"1,191.65","1,121.43","2,313.08",70.26,0.98,2026-03-20,57.09,2026-03-31,-49.12
ERW,Tourism,72,"1,457.10","1,387.27","2,844.39",69.87,0.97,2026-01-27,87.95,2026-03-17,-41.62
BJC,Commerce,72,"3,084.28","3,019.99","6,104.25",64.30,0.89,2026-02-09,71.31,2026-03-04,-45.53
BLA,Insurance,72,856.84,792.98,"1,649.82",63.80,0.89,2026-03-31,30.36,2026-02-02,-20.43
LH,Property,72,"3,087.23","3,036.82","6,124.07",50.39,0.70,2026-02-09,106.84,2026-03-02,-97.95
CHG,Helth,72,394.86,362.73,757.55,32.06,0.45,2026-01-07,23.60,2026-01-12,-14.79
CCET,Etron,72,"3,524.93","3,511.51","7,036.49",13.36,0.19,2026-02-25,132.61,2026-02-26,-67.76
JAS,ICT,72,308.06,299.27,607.37,8.78,0.12,2026-02-12,16.06,2026-02-16,-21.07
SJWD,Trans,72,266.10,258.87,524.96,7.22,0.10,2026-03-02,8.71,2026-02-13,-12.56
AURA,Fashion,72,337.19,333.24,670.51,3.91,0.05,2026-02-25,21.78,2026-02-26,-14.81
DOHOME,Commerce,72,910.75,914.81,"1,825.58",-4.05,-0.06,2026-02-03,47.45,2026-02-23,-44.84
BCH,Helth,72,"2,339.14","2,344.32","4,683.43",-5.14,-0.07,2026-04-02,68.89,2026-01-08,-48.72
QH,Property,72,396.93,428.87,825.80,-31.97,-0.44,2026-02-13,20.80,2026-01-13,-10.98
VGI,Media,72,"1,234.41","1,268.58","2,503.02",-34.12,-0.47,2026-02-10,35.73,2026-02-16,-82.74
CBG,Food,72,"3,533.73","3,573.34","7,107.12",-39.62,-0.55,2026-02-09,185.10,2026-02-11,-57.93
CK,Cons,72,"2,581.91","2,631.49","5,213.43",-49.58,-0.69,2026-01-16,81.29,2026-04-21,-54.30
JMART,ICT,72,"1,049.51","1,104.47","2,154.05",-55.01,-0.76,2026-02-09,56.05,2026-02-10,-25.40
GLOBAL,Commerce,72,"1,056.24","1,116.51","2,172.79",-60.22,-0.84,2026-03-30,25.88,2026-02-10,-30.78
JMT,Finance,72,"2,238.06","2,299.83","4,537.92",-61.79,-0.86,2026-02-09,112.10,2026-03-18,-54.25
SISB,Professional,72,526.96,613.71,"1,140.63",-86.71,-1.20,2026-02-09,11.69,2026-02-20,-34.41
TASCO,Conmat,72,682.46,784.75,"1,467.28",-102.27,-1.42,2026-01-05,101.31,2026-01-08,-50.77
EGCO,Energy,72,"3,254.70","3,367.82","6,622.50",-113.13,-1.57,2026-01-21,86.76,2026-03-13,-78.36
BAM,Finance,72,"1,465.78","1,587.29","3,053.08",-121.54,-1.69,2026-02-18,82.38,2026-02-20,-88.79
PR9,Helth,72,952.10,"1,079.56","2,031.63",-127.41,-1.77,2026-03-04,34.31,2026-03-11,-39.01
JTS,ICT,72,"1,263.40","1,398.67","2,662.02",-135.29,-1.88,2026-02-26,59.15,2026-02-27,-63.50
ICHI,Food,72,"1,111.26","1,259.04","2,370.25",-147.77,-2.05,2026-02-10,29.36,2026-02-25,-33.28
MOSHI,Commerce,72,322.98,489.93,812.85,-166.93,-2.32,2026-01-28,16.17,2026-03-04,-20.57
TLI,Insurance,72,"3,775.91","3,963.33","7,739.23",-187.43,-2.60,2026-02-04,128.21,2026-03-05,-114.83
BA,Trans,72,"2,076.28","2,280.98","4,357.28",-204.66,-2.84,2026-02-09,46.29,2026-03-11,-71.03
GFPT,Agri,72,345.82,553.63,899.45,-207.80,-2.89,2026-01-07,15.50,2026-03-06,-38.44
TCAP,Banking,72,"4,698.94","4,936.34","9,635.23",-237.46,-3.30,2026-01-27,108.23,2026-02-02,-92.84
GPSC,Energy,72,"8,031.51","8,276.58","16,308.11",-245.07,-3.40,2026-02-09,146.48,2026-03-10,-146.83
M,Food,72,"1,339.48","1,618.97","2,958.41",-279.44,-3.88,2026-02-27,47.40,2026-02-19,-43.56
CPF,Food,72,"16,415.70","16,710.79","33,126.48",-295.08,-4.10,2026-03-20,195.03,2026-03-05,-347.77
AEONTS,Finance,72,"1,115.57","1,428.29","2,543.84",-312.74,-4.34,2026-04-08,63.33,2026-02-20,-84.02
BTS,Trans,72,"2,906.96","3,259.57","6,166.46",-352.71,-4.90,2026-02-09,65.24,2026-02-16,-87.57
SAWAD,Finance,72,"7,357.16","7,720.78","15,077.97",-363.54,-5.05,2026-01-13,146.14,2026-02-19,-101.68
KTC,Finance,72,"13,510.16","13,875.04","27,385.21",-364.89,-5.07,2026-02-16,330.24,2026-03-05,-314.66
MTC,Finance,72,"8,696.21","9,132.39","17,828.61",-436.16,-6.06,2026-01-13,196.03,2026-03-25,-224.12
MINT,Tourism,72,"13,757.55","14,640.86","28,398.36",-883.32,-12.27,2026-01-15,388.68,2026-03-05,-348.71
OR,Energy,72,"8,167.62","9,062.39","17,230.04",-894.77,-12.43,2026-01-21,335.41,2026-03-05,-177.06
COM7,Commerce,72,"7,932.77","8,829.75","16,762.56",-896.99,-12.46,2026-02-03,125.59,2026-04-17,-153.09
KBANK,Banking,72,"71,499.70","72,598.49","144,098.15","-1,098.80",-15.26,2026-04-21,"3,080.86",2026-02-25,"-1,175.46"
TIDLOR,Finance,72,"5,490.48","6,619.44","12,109.89","-1,128.95",-15.68,2026-04-08,104.94,2026-03-25,-134.55
KTB,Banking,72,"45,433.16","46,971.01","92,404.10","-1,537.81",-21.36,2026-02-09,881.26,2026-03-04,-720.79
ADVANC,ICT,72,"75,226.56","76,796.93","152,023.50","-1,570.39",-21.81,2026-03-04,"1,499.97",2026-04-17,"-1,277.38"
TISCO,Banking,72,"11,809.10","13,498.23","25,307.41","-1,689.11",-23.46,2026-02-17,151.51,2026-03-09,-251.31
AOT,Trans,72,"44,840.17","46,590.72","91,430.93","-1,750.57",-24.31,2026-02-09,"1,122.04",2026-03-06,-812.56
TRUE,ICT,72,"94,090.37","96,101.01","190,191.42","-2,010.60",-27.92,2026-02-23,"1,229.83",2026-01-22,"-2,815.76"
SCB,Banking,72,"43,572.39","51,404.81","94,977.25","-7,832.40",-108.78,2026-02-17,962.74,2026-04-21,-924.69
