Symbol,Sector
AAV,Trans
ADVANC,ICT
AEONTS,Finance
AMATA,Property
AOT,Trans
AP,Property
AURA,Fashion
AWC,Property
BA,Trans
BAM,Finance
BANPU,Energy
BBL,Banking
BCH,Helth
BCP,Energy
BCPG,Energy
BDMS,Helth
BEM,Trans
BGRIM,Energy
BH,Helth
BJC,Commerce
BLA,Insurance
BTG,Food
BTS,Trans
CBG,Food
CCET,Etron
CENTEL,Tourism
CHG,Helth
CK,Cons
COM7,Commerce
CPALL,Commerce
CPF,Food
CPN,Property
CRC,Commerce
DELTA,Etron
DOHOME,Commerce
EA,Energy
EGCO,Energy
ERW,Tourism
GFPT,Agri
GLOBAL,Commerce
GPSC,Energy
GULF,Energy
GUNKUL,Energy
HANA,Etron
HMPRO,Commerce
ICHI,Food
IRPC,Energy
IVL,Petro
JAS,ICT
JMART,ICT
JMT,Finance
JTS,ICT
KBANK,Banking
KCE,Etron
KKP,Banking
KTB,Banking
KTC,Finance
LH,Property
M,Food
MEGA,Commerce
MINT,Tourism
MOSHI,Commerce
MTC,Finance
OR,Energy
OSP,Food
PLANB,Media
PR9,Helth
PRM,Trans
PTG,Energy
PTT,Energy
PTTEP,Energy
PTTGC,Petro
QH,Property
RATCH,Energy
RCL,Trans
SAWAD,Finance
SCB,Banking
SCC,Conmat
SCGP,Packaging
SIRI,Property
SISB,Professional
SJWD,Trans
SPALI,Property
SPRC,Energy
STA,Agri
STECON,Cons
STGT,Person
TASCO,Conmat
TCAP,Banking
TFG,Food
TIDLOR,Finance
TISCO,Banking
TLI,Insurance
TOA,Conmat
TOP,Energy
TRUE,ICT
TTB,Banking
TU,Food
VGI,Media
WHA,Property
