symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb
HMPRO,Commerce,1546,174632.02000000002,174634.05,349266.35,-2.2599999999983993
MTC,Finance,1546,190423.44,190432.68,380856.19,-9.170000000000982
GULF,Energy,270,111038.40000000001,111151.07999999999,222189.63,-112.63999999999942
QH,Property,1546,17315.239999999998,17478.489999999998,34793.89,-163.33000000000015
MINT,Tourism,1546,285512.89,285770.82,571283.4,-258.0600000000004
GLOBAL,Commerce,1546,73851.54,74463.91,148315.61,-612.2400000000001
TIDLOR,Finance,246,14965.210000000001,15743.439999999999,30708.559999999998,-778.1900000000004
JMART,ICT,1546,95510.87,96293.39,191804.22,-782.5500000000002
BEM,Trans,1546,144255.55,145722.0,289977.6,-1466.3299999999995
TCAP,Banking,1546,65637.75,67190.64,132828.23,-1552.8499999999995
EGCO,Energy,1546,106452.81,110793.31,217246.16999999998,-4340.300000000001
RATCH,Energy,1546,79932.63,85782.95999999999,165715.49,-5850.43
LH,Property,1546,155860.7,163625.18,319486.17000000004,-7764.200000000001
