symbol,sector,trading_days,total_buy_mb,total_sell_mb,total_turnover_mb,total_net_mb
AURA,Fashion,898,4457.04,4305.3099999999995,8762.5,151.7
JAS,ICT,1601,50489.62,50379.65999999999,100869.1,109.75999999999965
GFPT,Agri,1601,15579.72,15564.23,31144.07,15.509999999999906
PTG,Energy,1601,53849.95999999999,53873.45,107723.34,-23.440000000000083
GLOBAL,Commerce,1601,76278.25,76364.81,152643.18,-86.41999999999973
QH,Property,1601,17527.85,17640.5,35168.54,-112.69999999999999
MTC,Finance,1601,196330.04,196670.87,393000.99,-340.72000000000116
TCAP,Banking,1601,72733.38,73169.48000000001,145902.7,-436.1099999999992
TIDLOR,Finance,301,20762.92,21233.56,41996.409999999996,-470.6700000000003
JMART,ICT,1601,97703.12,98628.37,196331.46999999997,-925.2900000000003
BEM,Trans,1601,148159.03000000003,149383.04,297542.08999999997,-1223.8499999999995
EGCO,Energy,1601,110528.66,114397.76,224926.52000000002,-3868.9400000000005
RATCH,Energy,1601,84319.79000000001,89465.48999999999,173785.2,-5145.76
LH,Property,1601,157704.01,165327.77000000002,323032.15,-7623.48
